"lang"
{
    "Language" "None"
    "Tokens"
    {
// ---- START OF FILE ----
"Language"                                                                                     "None"
"npc_dota_hero_luna_str11"                                                                     "Hounded Beast"
"npc_dota_hero_luna_str11_description"                                                         "Vampirism 25%"
"npc_dota_hero_luna_str12"                                                                     "Apparent and true movement of celestial bodies"
"npc_dota_hero_luna_str12_description"                                                         "+100% attributes to allies with Lunar Blessing"
"npc_dota_hero_luna_str13"                                                                     "I'm in the house!"
"npc_dota_hero_luna_str13_description"                                                         "Using the ultimate grants Luna immunity to all damage for 5 seconds."
"npc_dota_hero_luna_agi6"                                                                      "Couldn't think of anything better"
"npc_dota_hero_luna_agi6_description"                                                          "+5 damage per level"
"npc_dota_hero_luna_agi7"                                                                      "A Steady Hand"
"npc_dota_hero_luna_agi7_description"                                                          "+350 attack range"
"npc_dota_hero_luna_agi8"                                                                      "Blessing"
"npc_dota_hero_luna_agi8_description"                                                          "Lunar Blessing +100% bonus for the Moon"
"npc_dota_hero_luna_agi9"                                                                      "Jumping and racing"
"npc_dota_hero_luna_agi9_description"                                                          "-16% damage reduction per bounce"
"npc_dota_hero_luna_agi10"                                                                     "Jumping and Jumping"
"npc_dota_hero_luna_agi10_description"                                                         "Moon Glaives bounces an additional 5 times"
"npc_dota_hero_luna_agi11"                                                                     "The Power of the Crazy Moon"
"npc_dota_hero_luna_agi11_description"                                                         "Lunar Blessing provides a bonus to base damage equal to the agility bonus"
"npc_dota_hero_luna_agi12"                                                                     "At least a whole horde"
"npc_dota_hero_luna_agi12_description"                                                         "Moon Glaives bounce damage 100%"
"npc_dota_hero_luna_agi13"                                                                     "Territory expansion"
"npc_dota_hero_luna_agi13_description"                                                         "Aura becomes global"
"npc_dota_hero_luna_int6"                                                                      "Supremacy"
"npc_dota_hero_luna_int6_description"                                                          "Starfall deals bonus damage equal to 50% int"
"npc_dota_hero_luna_int7"                                                                      "A brick to the head"
"npc_dota_hero_luna_int7_description"                                                          "Starfall will stun for 1 second"
"npc_dota_hero_luna_int8"                                                                      "Descendants of Selemina"
"npc_dota_hero_luna_int8_description"                                                          "-25% cooldown"
"npc_dota_hero_luna_int9"                                                                      "Fast Sunset"
"npc_dota_hero_luna_int9_description"                                                          "-60 seconds ultimate cooldown"
"npc_dota_hero_luna_int10"                                                                     "Eclipse"
"npc_dota_hero_luna_int10_description"                                                         "The ultimate interval is 2 times shorter"
"npc_dota_hero_luna_int11"                                                                     "Moonstrike"
"npc_dota_hero_luna_int11_description"                                                         "Ultimate duration +5"
"npc_dota_hero_luna_int12"                                                                     "Starfall"
"npc_dota_hero_luna_int12_description"                                                         "Beam hits all enemies in a radius"
"npc_dota_hero_luna_int13"                                                                     "Starfall"
"npc_dota_hero_luna_int13_description"                                                         "Starfall triggers every second with damage +100% of int (disable stun from talent)"
"dota_tooltip_ability_drow_ranger_frost_arrows_lua"                                            "Frost Arrows"
"dota_tooltip_ability_drow_ranger_frost_arrows_lua_description"                                "Adds a freezing effect to the hero's attacks, slowing the target's movement for 1.5 seconds."
"dota_tooltip_ability_drow_ranger_frost_arrows_lua_frost_arrows_movement_speed"                "%MOVEMENT SLOW:"
"dota_tooltip_ability_drow_cross_lua"                                                          "Multishot"
"dota_tooltip_ability_drow_cross_lua_description"                                              "Fire a volley of arrows, dealing agility damage."
"dota_tooltip_ability_drow_cross_lua_damage"                                                   "DAMAGE:"
"dota_tooltip_ability_drow_cross_lua_distance"                                                 "RANGE:"
"dota_tooltip_ability_drow_cross_lua_count"                                                    "ARROWS:"
"dota_tooltip_ability_drow_ranger_aura"                                                        "Speed Aura"
"dota_tooltip_ability_drow_ranger_aura_description"                                            "The hero increases the attack speed of nearby allies. The bonus to attack speed depends on the hero's agility."
"dota_tooltip_ability_drow_ranger_aura_speed"                                                  "%ATTACK SPEED FROM AGILITY:"
"dota_tooltip_ability_drow_ranger_aura_range"                                                  "RADIUS:"
"dota_tooltip_ability_drow_ranger_marksmanship_lua"                                            "Marksmanship"
"dota_tooltip_ability_drow_ranger_marksmanship_lua_description"                                "Experience in combat allows the hero to shoot faster and more efficiently. With each attack, there is a chance to fire an arrow with increased damage. Also grants the hero and nearby ranged allies additional agility based on the wielder's agility. The ability does not work if there are enemy heroes within a 400 radius of its owner."
"dota_tooltip_ability_drow_ranger_marksmanship_lua_lore"                                       "<font color='#F62817'>The ability affects allies 3 times weaker.</font>"
"dota_tooltip_ability_drow_ranger_marksmanship_lua_chance"                                     "%CHANCE:"
"dota_tooltip_ability_drow_ranger_marksmanship_lua_bonus_damage"                               "BONUS PROC DAMAGE:"
"dota_tooltip_ability_drow_ranger_marksmanship_lua_agility_multiplier"                         "%AGILITY BONUS:"
"dota_tooltip_ability_drow_ranger_marksmanship_lua_agility_range"                              "AGILITY RADIUS:"
"dota_tooltip_ability_drow_ranger_marksmanship_lua_aghanim_description"                        "Hero's arrows split on impact, dealing damage to random units around the target. Each arrow is considered a normal attack, but deals reduced damage."
"dota_tooltip_ability_drow_ranger_marksmanship_lua_split_count_scepter"                        "SCEPTER SPLIT COUNT:"
"dota_tooltip_ability_drow_ranger_marksmanship_lua_damage_reduction_scepter"                   "%SCEPTER DAMAGE REDUCTION:"
"DOTA_Tooltip_modifier_drow_ranger_marksmanship_lua_effect"		                                "Marksmanship"
"DOTA_Tooltip_modifier_drow_ranger_marksmanship_lua_effect_Description"		                    "You gained %dMODIFIER_PROPERTY_STATS_AGILITY_BONUS% dexterity and %dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% strength."
"npc_dota_hero_drow_ranger_str6"                                                               "The truth is in force"
"npc_dota_hero_drow_ranger_str6_description"                                                   "Marksmanship also gives you strength"
"npc_dota_hero_drow_ranger_str7"                                                               "Thinking"
"npc_dota_hero_drow_ranger_str7_description"                                                   "The Marksmanship bonus also applies to melee units"
"npc_dota_hero_drow_ranger_str8"                                                               "With all my might"
"npc_dota_hero_drow_ranger_str8_description"                                                   "Marksmanship +100% strength to damage"
"npc_dota_hero_drow_ranger_str9"                                                               "Tactical superiority"
"npc_dota_hero_drow_ranger_str9_description"                                                   "Marksmanship has a 50% chance to fire a Multishot when triggered"
"npc_dota_hero_drow_ranger_str10"                                                              "Sixth Sense"
"npc_dota_hero_drow_ranger_str10_description"                                                  "Speed ​​Aura goes global"
"npc_dota_hero_drow_ranger_str11"                                                              "Bloodthirst"
"npc_dota_hero_drow_ranger_str11_description"                                                  "Vampirism 20%"
"npc_dota_hero_drow_ranger_str12"                                                              "The strongest archer"
"npc_dota_hero_drow_ranger_str12_description"                                                  "Marksmanship indicators x2"
"npc_dota_hero_drow_ranger_str13"                                                              "One shot and you're dead"
"npc_dota_hero_drow_ranger_str13_description"                                                  "Marksmanship indicators x3"
"npc_dota_hero_drow_ranger_agi6"                                                               "A Steady Hand"
"npc_dota_hero_drow_ranger_agi6_description"                                                   "+350 attack range"
"npc_dota_hero_drow_ranger_agi7"                                                               "Close Shot"
"npc_dota_hero_drow_ranger_agi7_description"                                                   "Arrows from Frost Arrows reduce target's armor by 5"
"npc_dota_hero_drow_ranger_agi8"                                                               "Agility Powers"
"npc_dota_hero_drow_ranger_agi8_description"                                                   "+10% Marksmanship bonus"
"npc_dota_hero_drow_ranger_agi9"                                                               "Nimble Shot"
"npc_dota_hero_drow_ranger_agi9_description"                                                   "Marksmanship +100% agility to damage"
"npc_dota_hero_drow_ranger_agi10"                                                              "Right in the eye"
"npc_dota_hero_drow_ranger_agi10_description"                                                  "Targets affected by Frost Arrows take 25% more physical damage"
"npc_dota_hero_drow_ranger_agi11"                                                              "Retribution"
"npc_dota_hero_drow_ranger_agi11_description"                                                  "Heroes receive the Aghanim effect"
"npc_dota_hero_drow_ranger_agi12"                                                              "Stronger together"
"npc_dota_hero_drow_ranger_agi12_description"                                                  "Marksmanship aura becomes global"
"npc_dota_hero_drow_ranger_agi13"                                                              "Murderous Thraxa"
"npc_dota_hero_drow_ranger_agi13_description"                                                  "x5 damage from agility"
"npc_dota_hero_drow_ranger_int6"                                                               "Semi-smart"
"npc_dota_hero_drow_ranger_int6_description"                                                   "Takes additional damage equal to Intelligence"
"npc_dota_hero_drow_ranger_int7"                                                               "Almost a mage"
"npc_dota_hero_drow_ranger_int7_description"                                                   "Reduces the mana cost of Multishot by 2 times"
"npc_dota_hero_drow_ranger_int8"                                                               "Hysteria"
"npc_dota_hero_drow_ranger_int8_description"                                                   "Multishot cooldown 0.1 sec"
"npc_dota_hero_drow_ranger_int9"                                                               "The power of magic"
"npc_dota_hero_drow_ranger_int9_description"                                                   "Multishot deals int damage"
"npc_dota_hero_drow_ranger_int10"                                                              "Thicket"
"npc_dota_hero_drow_ranger_int10_description"                                                  "+4 arrows from Multishot"
"npc_dota_hero_drow_ranger_int11"                                                              "Magic arrows"
"npc_dota_hero_drow_ranger_int11_description"                                                  "Changes Multishot damage from physical non-buff to magical buff"
"npc_dota_hero_drow_ranger_int12"                                                              "Well, shall we shoot?"
"npc_dota_hero_drow_ranger_int12_description"                                                  "-10 percent mana cost and removes cooldown if the talent Hysteria is studied"
"npc_dota_hero_drow_ranger_int13"                                                              "Powerful Multi-Arrows"
"npc_dota_hero_drow_ranger_int13_description"                                                  "Multishot Arrows +5 and 200 more range"
"dota_tooltip_ability_medusa_mystic_snake_lua"                                                 "Mystic Snake"
"dota_tooltip_ability_medusa_mystic_snake_lua_description"                                     "Shoots out an energy snake that jumps from target to target and deals damage. Once it reaches the last target, the snake will return to its owner and restore their mana. With each jump, the snake deals more damage."
"dota_tooltip_ability_medusa_mystic_snake_lua_radius"                                          "SNAKE RADIUS:"
"dota_tooltip_ability_medusa_mystic_snake_lua_snake_jumps"                                     "Jumps:"
"dota_tooltip_ability_medusa_mystic_snake_lua_snake_damage"                                    "INSTANT DAMAGE:"
"dota_tooltip_ability_medusa_mystic_snake_lua_snake_poison_damage"                             "POISON DAMAGE:"
"dota_tooltip_ability_medusa_mystic_snake_lua_snake_poison_duration"                           "POISON DURATION:"
"dota_tooltip_ability_medusa_mystic_snake_lua_snake_mana_steal"                                "%MANA RECOVERY:"
"dota_tooltip_ability_medusa_mystic_snake_lua_snake_scale"                                     "%DAMAGE BOOST:"
"dota_tooltip_ability_medusa_mana_shield_lua"                                                  "Mana Shield"
"dota_tooltip_ability_medusa_mana_shield_lua_description"                                      "Creates a shield that absorbs incoming damage using the hero's mana. The shield will not absorb damage if there is not enough mana."
"dota_tooltip_ability_medusa_mana_shield_lua_damage_per_mana"                                  "DAMAGE PER MANA POINT:"
"dota_tooltip_ability_medusa_mana_shield_lua_absorption_tooltip"                               "%DAMAGE ABSORPTION:"
"dota_tooltip_ability_medusa_split_shot_lua"                                                   "Split Shot"
"dota_tooltip_ability_medusa_split_shot_lua_description"                                       "The hero magically splits their arrows, attacking multiple targets but dealing less damage."
"dota_tooltip_ability_medusa_split_shot_lua_arrow_count"                                       "ARROWS:"
"dota_tooltip_ability_medusa_split_shot_lua_damage_modifier_tooltip"                           "%DEALT DAMAGE:"
"dota_tooltip_ability_medusa_stone_gaze_lua"                                                   "STONE GAZE"
"dota_tooltip_ability_medusa_stone_gaze_lua_description"                                       "If the victim looks at the hero, they will turn to stone: they will be stunned, and attacks will deal increased physical damage to them."
"dota_tooltip_ability_medusa_stone_gaze_lua_range"                                             "RADIUS:"
"dota_tooltip_ability_medusa_stone_gaze_lua_first_transformation_delay"                        "INITIAL TRANSFORMATION DELAY:"
"dota_tooltip_ability_medusa_stone_gaze_lua_first_transformation_duration"                     "INITIAL TRANSFORMATION DURATION:"
"dota_tooltip_ability_medusa_stone_gaze_lua_subsequent_transformations_delay"                  "TRANSFORMATION DELAY:"
"dota_tooltip_ability_medusa_stone_gaze_lua_subsequent_transformations_duration"               "TRANSFORMATION DURATION:"
"dota_tooltip_ability_medusa_stone_gaze_lua_damage_bonus"                                      "%PHYSICAL DAMAGE INCREASE:"
"npc_dota_hero_medusa_str6"                                                                    "Venomous Empowered Bite"
"npc_dota_hero_medusa_str6_description"                                                        "Increases Mystic Snake instant damage by 100% of the hero's strength"
"npc_dota_hero_medusa_str7"                                                                    "Mana Shield Conservation"
"npc_dota_hero_medusa_str7_description"                                                        "Mana conservation when blocking: 25% chance to save mana when using Magic Shield."
"npc_dota_hero_medusa_str8"                                                                    "Petrifying Blindness"
"npc_dota_hero_medusa_str8_description"                                                        "Enemies looking at the hero during Stone Gaze deal 10% less damage and have a 20% chance to miss due to blindness."
"npc_dota_hero_medusa_str9"                                                                    "Even Stronger"
"npc_dota_hero_medusa_str9_description"                                                        "+20% damage absorption for Mana Shield"
"npc_dota_hero_medusa_str10"                                                                   "Stand Still!"
"npc_dota_hero_medusa_str10_description"                                                       "Attacks from Split Shot slow targets by 100ms"
"npc_dota_hero_medusa_str11"                                                                   "Even Stronger"
"npc_dota_hero_medusa_str11_description"                                                       "Mana Shield absorbs 2x damage per mana point"
"npc_dota_hero_medusa_str12"                                                                   "Divine Protection"
"npc_dota_hero_medusa_str12_description"                                                       "Damage blocked by Mana Shield ability is reduced by armor and magic resistance."
"npc_dota_hero_medusa_str13"                                                                   "Almighty Absorption"
"npc_dota_hero_medusa_str13_description"                                                       "Increases absorbed damage per mana x5"
"npc_dota_hero_medusa_agi6"                                                                    "True Aim"
"npc_dota_hero_medusa_agi6_description"                                                        "Split Shot effect deals double damage if only one target is near Medusa"
"npc_dota_hero_medusa_agi7"                                                                    "Ocular Might"
"npc_dota_hero_medusa_agi7_description"                                                        "Enemies turned to stone receive +50% physical damage."
"npc_dota_hero_medusa_agi8"                                                                    "Serpent Agility Venom"
"npc_dota_hero_medusa_agi8_description"                                                        "100% of Agility is converted into instant snake damage, dealing magic-type damage."
"npc_dota_hero_medusa_agi9"                                                                    "More Targets"
"npc_dota_hero_medusa_agi9_description"                                                        "+2 targets for Split Shot"
"npc_dota_hero_medusa_agi10"                                                                   "Faith"
"npc_dota_hero_medusa_agi10_description"                                                       "Always 100% damage from Split Shot"
"npc_dota_hero_medusa_agi11"                                                                   "Righteousness"
"npc_dota_hero_medusa_agi11_description"                                                       "Split Shot targets are affected by modifiers"
"npc_dota_hero_medusa_agi12"                                                                   "Serpent Strike"
"npc_dota_hero_medusa_agi12_description"                                                       "Mystic Snake also deals physical damage equal to five times Medusa's damage.\n(Not amplified)"
"npc_dota_hero_medusa_agi13"                                                                   "Right on target x2"
"npc_dota_hero_medusa_agi13_description"                                                       "+100% damage when splitshot is active."
"npc_dota_hero_medusa_int6"                                                                    "Double Snake Release"
"npc_dota_hero_medusa_int6_description"                                                        "Mystic Snake releases 2 snakes"
"npc_dota_hero_medusa_int7"                                                                    "Demoralize"
"npc_dota_hero_medusa_int7_description"                                                        "Attacks from Mystic Snake reduce target's magic resistance by 15%"
"npc_dota_hero_medusa_int8"                                                                    "More Venom"
"npc_dota_hero_medusa_int8_description"                                                        "Mystic Snake poison damage equals hero's int/2"
"npc_dota_hero_medusa_int9"                                                                    "Turn to Stone!"
"npc_dota_hero_medusa_int9_description"                                                        "Mystic Snake stuns target for 1 sec. (does not work on bosses)"
"npc_dota_hero_medusa_int10"                                                                   "Serpent"
"npc_dota_hero_medusa_int10_description"                                                       "Base damage of Mystic Snake is increased by the hero's int."
"npc_dota_hero_medusa_int11"                                                                   "Mystical Amplification"
"npc_dota_hero_medusa_int11_description"                                                       "Mystic Snake mana cost is 30% of the hero's current mana amount."
"npc_dota_hero_medusa_int12"                                                                   "Most Venomous Venom"
"npc_dota_hero_medusa_int12_description"                                                       "The snake can bounce on one target several times."
"npc_dota_hero_medusa_int13"                                                                   "Jump-Jump"
"npc_dota_hero_medusa_int13_description"                                                       "x2 bounces, the snake can bounce on the same target several times"
"dota_tooltip_ability_enchantress_natures_attendants_lua"                                      "Nature's Attendants"
"dota_tooltip_ability_enchantress_natures_attendants_lua_description"                          "A cloud of wisps heals Enchantress and any friendly units nearby. Lasts %abilityduration% seconds."
"dota_tooltip_ability_enchantress_natures_attendants_lua_wisp_count"                           "WISPS:"
"dota_tooltip_ability_enchantress_natures_attendants_lua_heal"                                 "%HEAL PER SECOND:"
"dota_tooltip_ability_enchantress_natures_attendants_lua_radius"                               "RADIUS:"
"dota_tooltip_modifier_enchantress_natures_attendants_lua"                                     "Nature's Attendants"
"dota_tooltip_modifier_enchantress_natures_attendants_lua_description"                         "Healing nearby units"
"dota_tooltip_ability_enchantress_natures"                                                     "Nature's Forces"
"dota_tooltip_ability_enchantress_natures_description"                                         "Unity with the forces of nature allows the hero to increase his movement speed and reduce the mana cost of abilities."
"dota_tooltip_ability_enchantress_natures_mana_cost"                                           "%REDUCED MANACOSTS:"
"dota_tooltip_ability_enchantress_natures_move_speed"                                          "%BONUS MOVESPEED:"
"dota_tooltip_ability_enchantress_two_shots"                                                   "Multishot"
"dota_tooltip_ability_enchantress_two_shots_description"                                       "The hero throws magic arrows at all enemies around."
"dota_tooltip_ability_enchantress_two_shots_range"                                             "RADIUS:"
"dota_tooltip_ability_enchantress_two_shots_damage_bonus"                                      "DAMAGE:"
"dota_tooltip_ability_enchantress_two_shots_int"                                               "%INT to DAMAGE:"
"dota_tooltip_ability_enchantress_two_shots_targets"                                           "MAX TARGERT:"
"dota_tooltip_ability_enchantress_impetus_lua"                                                 "Impetus"
"dota_tooltip_ability_enchantress_impetus_lua_description"                                     "Places an enchantment on each attack while activated, causing it to deal additional damage based on how far away the target is. The farther the target, the greater the damage dealt."
"dota_tooltip_ability_enchantress_impetus_lua_lore"                                            "While Aiushtha favors peaceful means, she is capable of a magical onslaught from a distance, her spears gaining energy from the natural life around her."
"dota_tooltip_ability_enchantress_impetus_lua_distance_damage_pct"                             "%DISTANCE DAMAGE:"
"npc_dota_hero_enchantress_str6"                                                               "Forest Power"
"npc_dota_hero_enchantress_str6_description"                                                   "Nature's Attendants AC reduced by 2 times"
"npc_dota_hero_enchantress_str7"                                                               "Force of Nature"
"npc_dota_hero_enchantress_str7_description"                                                   "+150 health per level"
"npc_dota_hero_enchantress_str8"                                                               "Death"
"npc_dota_hero_enchantress_str8_description"                                                   "Triggering Multishot restores health equal to damage"
"npc_dota_hero_enchantress_str9"                                                               "The forest is coming"
"npc_dota_hero_enchantress_str9_description"                                                   "Fireflies restore 2x health"
"npc_dota_hero_enchantress_str10"                                                              "Forest pheromones"
"npc_dota_hero_enchantress_str10_description"                                                  "Nature's Forces provides magic resistance equal to the mana cost reduction bonus"
"npc_dota_hero_enchantress_str11"                                                              "Harmony of the Forests"
"npc_dota_hero_enchantress_str11_description"                                                  "Nature's Attendants grants 50% magic resistance while active"
"npc_dota_hero_enchantress_str12"                                                              "Together we are stronger"
"npc_dota_hero_enchantress_str12_description"                                                  "Nature's Forces becomes an aura"
"npc_dota_hero_enchantress_str13"                                                              "Will you spoil it?"
"npc_dota_hero_enchantress_str13_description"                                                  "Aura becomes global with x2 effect (for allies)"
"npc_dota_hero_enchantress_agi6"                                                               "By the roots"
"npc_dota_hero_enchantress_agi6_description"                                                   "Gives bonus damage equal to the hero's agility"
"npc_dota_hero_enchantress_agi7"                                                               "Absorption"
"npc_dota_hero_enchantress_agi7_description"                                                   "+5 damage per level"
"npc_dota_hero_enchantress_agi8"                                                               "A Steady Hand"
"npc_dota_hero_enchantress_agi8_description"                                                   "+350 attack range"
"npc_dota_hero_enchantress_agi9"                                                               "High Crowns"
"npc_dota_hero_enchantress_agi9_description"                                                   "Effect from Nature's Forces.Attacks two targets at once"
"npc_dota_hero_enchantress_agi10"                                                              "The Rustle of Grass"
"npc_dota_hero_enchantress_agi10_description"                                                  "Gain 5 attack speed per hero level"
"npc_dota_hero_enchantress_agi11"                                                              "Flood"
"npc_dota_hero_enchantress_agi11_description"                                                  "+25% Impetus damage"
"npc_dota_hero_enchantress_agi12"                                                              "Tragic Destruction"
"npc_dota_hero_enchantress_agi12_description"                                                  "minus 0.1 second Multishot CD"
"npc_dota_hero_enchantress_agi13"                                                              "I want more damage"
"npc_dota_hero_enchantress_agi13_description"                                                  "Multishot damage x2"
"npc_dota_hero_enchantress_int6"                                                               "Little Helpers"
"npc_dota_hero_enchantress_int6_description"                                                   "Multishot attacks all targets around it"
"npc_dota_hero_enchantress_int7"                                                               "Stormy Rivers"
"npc_dota_hero_enchantress_int7_description"                                                   "Nature's Attendants also restore mana"
"npc_dota_hero_enchantress_int8"                                                               "Thrift"
"npc_dota_hero_enchantress_int8_description"                                                   "Mana cost of all abilities -50%"
"npc_dota_hero_enchantress_int9"                                                               "Enchanted Spears"
"npc_dota_hero_enchantress_int9_description"                                                   "+100% int to Multishot damage"
"npc_dota_hero_enchantress_int10"                                                              "Combat mosquitoes"
"npc_dota_hero_enchantress_int10_description"                                                  "When Nature's Attendants is active, enemies take damage equal to the bonus from health regen. (not amplified)"
"npc_dota_hero_enchantress_int11"                                                              "Magic Robe"
"npc_dota_hero_enchantress_int11_description"                                                  "Effect from Nature's Forces.Attacks reduce the chain's magic defense by 15% for 2 sec."
"npc_dota_hero_enchantress_int12"                                                              "Spears of the Goddess"
"npc_dota_hero_enchantress_int12_description"                                                  "30% int to Impetus damage"
"npc_dota_hero_enchantress_int13"                                                              "Goddess Impetus"
"npc_dota_hero_enchantress_int13_description"                                                  "Impetus damage x3"
"dota_tooltip_ability_lina_dragon_slave_lua"                                                   "Dragon Slave"
"dota_tooltip_ability_lina_dragon_slave_lua_description"                                       "Lina channels the breath of a dragon, sending out a wave of fire that scorches every enemy in its path."
"dota_tooltip_ability_lina_dragon_slave_lua_damage"                                            "DMG:"
"dota_tooltip_ability_lina_stun"                                                               "Light Strike Array"
"dota_tooltip_ability_lina_stun_description"                                                   "Explodes the ground in front of it, causing pillars of flame that stun and damage enemies."
"dota_tooltip_ability_lina_stun_distance"                                                      "RANGE:"
"dota_tooltip_ability_lina_stun_duration"                                                      "STUN DURATION:"
"dota_tooltip_ability_lina_stun_points"                                                        "EXPLODES:"
"dota_tooltip_ability_lina_stun_damage"                                                        "DMG:"
"dota_tooltip_ability_lina_fiery_soul_lua"                                                     "Fiery Soul"
"dota_tooltip_ability_lina_fiery_soul_lua_description"                                         "Grants bonus attack and movement speed each time Lina casts a spell. Stacks with itself. Lasts %fiery_soul_stack_duration% seconds."
"dota_tooltip_ability_lina_fiery_soul_lua_fiery_soul_attack_speed_bonus"                       "ATTACK SPEED BONUS:"
"dota_tooltip_ability_lina_fiery_soul_lua_fiery_soul_move_speed_bonus"                         "MOVE SPEED BONUS:"
"dota_tooltip_ability_lina_fiery_soul_lua_fiery_soul_max_stacks"                               "MAX STACKS:"
"dota_tooltip_ability_lina_fiery_soul_lua_fiery_soul_stack_duration"                           "DURATION:"
"dota_tooltip_ability_lina_laguna_blade_lua"                                                   "Laguna Blade"
"dota_tooltip_ability_lina_laguna_blade_lua_description"                                       "Fires off a bolt of lightning at a single enemy unit, dealing massive damage."
"dota_tooltip_ability_lina_laguna_blade_lua_damage"                                            "DMG:"
"dota_tooltip_ability_lina_laguna_blade_lua_scepter_description"                               "The ability bounces at multiple enemies."
"npc_dota_hero_lina_str6"                                                                      "Burning Fire"
"npc_dota_hero_lina_str6_description"                                                          "Fiery Soul gives a third of the armor of movement speed"
"npc_dota_hero_lina_str7"                                                                      "Ashes"
"npc_dota_hero_lina_str7_description"                                                          "+150 health level"
"npc_dota_hero_lina_str8"                                                                      "Mistress of Fire"
"npc_dota_hero_lina_str8_description"                                                          "+3 seconds Light Strike Array stun duration"
"npc_dota_hero_lina_str9"                                                                      "Fire Shield"
"npc_dota_hero_lina_str9_description"                                                          "Fiery Soul grants magic resistance equal to one third of movement speed"
"npc_dota_hero_lina_str10"                                                                     "Inner Fire"
"npc_dota_hero_lina_str10_description"                                                         "Enemies attacking Lina are set on fire and take 0.5 force damage per second"
"npc_dota_hero_lina_str11"                                                                     "Burnt"
"npc_dota_hero_lina_str11_description"                                                         "Laguna Blade damage equals hero's health"
"npc_dota_hero_lina_str12"                                                                     "Lionheart"
"npc_dota_hero_lina_str12_description"                                                         "Plus 3.5 strength to ignite, only works if arson is learned"
"npc_dota_hero_lina_str13"                                                                     "Fire Radius"
"npc_dota_hero_lina_str13_description"                                                         "Ignite works at 800 aura"
"npc_dota_hero_lina_agi6"                                                                      "Spirit of Fire"
"npc_dota_hero_lina_agi6_description"                                                          "+5 damage per level"
"npc_dota_hero_lina_agi7"                                                                      "Pyromancy"
"npc_dota_hero_lina_agi7_description"                                                          "Fiery Soul provides bonus damage equal to attack speed*2"
"npc_dota_hero_lina_agi8"                                                                      "Power of Fire"
"npc_dota_hero_lina_agi8_description"                                                          "x2 effect from Fiery Soul"
"npc_dota_hero_lina_agi9"                                                                      "Arson"
"npc_dota_hero_lina_agi9_description"                                                          "Attacks set the target on fire for 2 seconds, burning damage equal to agility"
"npc_dota_hero_lina_agi10"                                                                     "Fire Attack"
"npc_dota_hero_lina_agi10_description"                                                         "+4 Fiery Soul stacks"
"npc_dota_hero_lina_agi11"                                                                     "Inner Warmth"
"npc_dota_hero_lina_agi11_description"                                                         "Agility provides base damage"
"npc_dota_hero_lina_agi12"                                                                     "Progenitor Ray"
"npc_dota_hero_lina_agi12_description"                                                         "Laguna Blade drops from attack have a 5% chance"
"npc_dota_hero_lina_agi13"                                                                     "Sorcerer's Beam"
"npc_dota_hero_lina_agi13_description"                                                         "Lagoon damage +200% int"
"npc_dota_hero_lina_int6"                                                                      "Fire Explosions"
"npc_dota_hero_lina_int6_description"                                                          "+3 explosions from Light Strike Array"
"npc_dota_hero_lina_int7"                                                                      "Economy"
"npc_dota_hero_lina_int7_description"                                                          "Skill mana cost is 2 times less"
"npc_dota_hero_lina_int8"                                                                      "Dragon Power"
"npc_dota_hero_lina_int8_description"                                                          "Dragon Slave receives a damage bonus equal to 50% of the hero's Intelligence"
"npc_dota_hero_lina_int9"                                                                      "Homing"
"npc_dota_hero_lina_int9_description"                                                          "Laguna Blade bounces 5 times"
"npc_dota_hero_lina_int10"                                                                     "Dragon's Breath"
"npc_dota_hero_lina_int10_description"                                                         "Dragon Slave works in 3 directions"
"npc_dota_hero_lina_int11"                                                                     "Explosive character"
"npc_dota_hero_lina_int11_description"                                                         "Light Strike Array gains a damage bonus equal to the hero's Intelligence"
"npc_dota_hero_lina_int12"                                                                     "Fiery Breakthrough"
"npc_dota_hero_lina_int12_description"                                                         "Dragon Slave triggers 25% of attacks"
"npc_dota_hero_lina_int13"                                                                     "Almighty Attribute"
"npc_dota_hero_lina_int13_description"                                                         "+50% of all attributes in damage"
"dota_tooltip_ability_lion_earth_spike_lua"                                                    "Earth Spike"
"dota_tooltip_ability_lion_earth_spike_lua_description"                                        "Rock spikes burst from the earth along a straight path. Enemy units are hurled into the air, then are stunned and take damage when they fall."
"dota_tooltip_ability_lion_earth_spike_lua_duration"                                           "STUN DURATION:"
"dota_tooltip_ability_lion_earth_spike_lua_damage"                                             "DMG:"
"dota_tooltip_ability_lion_soul_collector"                                                     "Soul Collector"
"dota_tooltip_ability_lion_soul_collector_description"                                         "The hero steals the souls of fallen enemies and increases the magic damage of his skills."
"dota_tooltip_ability_lion_soul_collector_stack_bonus_dmg"                                     "DAMAGE PER SOUL:"
"dota_tooltip_modifier_dmg_collector"                                                          "SOUL COLLECT"
"dota_tooltip_modifier_dmg_collector_description"                                              "The souls of the fallen make you stronger!"
"dota_tooltip_modifier_modifier_lion_soul_collector"                                           "Souls"
"dota_tooltip_modifier_modifier_lion_soul_collector_description"                               "Each soul increases ability damage"
"dota_tooltip_ability_lion_mana_aura"                                                          "Mana Aura"
"dota_tooltip_ability_lion_mana_aura_description"                                              "All enemies hit by the hero's aura receive a movement slowdown and begin to lose mana. The hero himself receives a bonus to mana recovery for each enemy in the aura."
"dota_tooltip_ability_lion_mana_aura_aura_radius"                                              "RADIUS:"
