"lang"
{
    "Language" "None"
    "Tokens"
    {
// ---- START OF FILE ----
"language"                                                                                     "Chinese"
"collect_all_rewards_button"                                                                   "收集所有"
"BattlePass_choice_count"                                                                      "做出选择 <font color='#ff0066'><b>##count##</b></font> 次"
"BattleBase_unavailable_reward_premium"                                                        "<font color='red'>只有在商店中购买了二级奖励才能获得此奖励。</font>"
"BattlePass_tab_bp_name"                                                                       "战斗通行证"
"open_button_battle_pass"                                                                      "战斗通行证"
"BattlePass_tab_inventory_name"                                                                "存货"
"battle_pass_level"                                                                            "等级"
"battle_pass_vote_button"                                                                      "投票"
"battle_pass_vote_label"                                                                       "投票选出下一个英雄"
"battle_pass_task_1_description"                                                               "击杀<font color='red'><b>10000</b></font>小兵，奖励1000经验"
"battle_pass_task_2_description"                                                               "参与击杀<font color='red'><b>250</b></font>个boss，奖励1000经验"
"BpTaskDescription_1"                                                                          "杀掉所有的怪物"
"BpTaskDescription_2"                                                                          "杀掉老大"
"battle_pass_task_description"                                                                 "升级战斗通行证的任务，<font color='red'>每周更新</font>"
"battle_pass_buy_experience"                                                                   "##value##体验##price##"
"battle_pass_buy_premium"                                                                      "黄金通行证##price##"
"battle_pass_buy_premium_tooltip"                                                              "获得二级奖励和英雄投票"
"bp_premium"                                                                                   "<font color='gold'>黄金通行证</font>"
"bp_experience"                                                                                "##count##经验"
"battle_pase_use_toggle_button"                                                                "积极的"
"quest_title_description"                                                                      "日常任务、战斗通行证升级任务、游戏任务"
"battle_pass_error_vote"                                                                       "投票仅适用于拥有黄金通行证的玩家"
"BattlePass_model_name"                                                                        "替换模型"
"BattlePass_model_description"                                                                 "你将永远收到你的英雄的定制模型。"
"battle_pass_mars_1"                                                                           "终极伤害叠加 x2 持续时间。"
"battle_pass_shadow_shaman_1"                                                                  "鸡的 CD -50%"
"battle_pass_slark_1"                                                                          "黑暗契约对英雄的伤害不会因物质而增强。"
"battle_pass_arc_warden_1"                                                                     "每英雄等级+5% 法术伤害提升。"
"battle_pass_magnataur_1"                                                                      "自动对英雄施放强化，+不浪费法力。"
"battle_pass_pudge_1"                                                                          "Rot 的 pudge 伤害提升减弱了 90%。"
"gems_image_pet"                                                                               "水晶"
"rp_image_pet"                                                                                 "RP"
"feed_image_pet"                                                                               "喂养"
"pets_level_label"                                                                             "级别##count##"
"pets_tier_label"                                                                              "等级##count##"
"pets_buy_confirm_itemname"                                                                    "买东西＃item＃？"
"pets_status_loading"                                                                          "加载中..."
"dota_pets_feed_error"                                                                         "饲料不够"
"pets_tier_title"                                                                              "宠物：等级##number##"
"pets_trial_game_count"                                                                        "更多##count##游戏"
"pets_trial_end_date"                                                                          "可用至##date##"
"pets_buy_unavailible"                                                                         "不可用"
"pets_buy_unavailible_tooltip"                                                                 "可以从战斗通行证或宝库中作为奖励获得。"
"talent_level_label"                                                                           "Lv。"
"talant_button_update"                                                                         "提升"
"talents_cheat_mode_label"                                                                     "作弊模式"
"talents_cheat_drop_label"                                                                     "掉落人才"
"talents_unavailible_turbo"                                                                    "<br><font color='red'>在 Turbo 模式下不可用</font>"
"talents_unavailible_normal"                                                                   "<br><font color='red'>在正常模式下不可用</font>"
"talents_open_button"                                                                          "人才"
"talents_only_patron"                                                                          "<br><br><font color='red'>仅适用于有效订阅</font>"
"talant_game_cout_label"                                                                       "游戏数量"
"talents_strategy_level_label"                                                                 "等级<font color='green'>##1##</font> / <font color='gold'>##2##</font>"
"talant_reincarnation_label"                                                                   "天赋已重置"
"talents_rp_tooltip"                                                                           "你有##count##盾牌。"
"talents_don_tooltip"                                                                          "你有##count##水晶。"
"talents_hero_refresh_count"                                                                   "与英雄结下不解之缘"
"talents_use_button_label"                                                                     "使用"
"talents_shop_refresh_count"                                                                   "献给所有的英雄"
"talents_activate_second_branch"                                                               "激活第二天赋分支！"
"talents_activate_second_branch_error"                                                         "我们忘了添加"
"error_change_limit"                                                                           "每场比赛更换宠物的次数已达到限制。购买 PET CHANGER 即可禁用该限制。"
"error_no_pet"                                                                                 "你没有这只宠物。"
"dota_rp_shop_error"                                                                           "你缺少盾牌！赢得比赛即可获得它们！"
"talents_unavailible_hard"                                                                     "<br><font color='red'>在困难模式下不可用</font>"
"minigame_label_1"                                                                             "一场地狱般的迷你游戏！"
"minigame_label_2"                                                                             "不作为的惩罚"
"minigame_label_3"                                                                             "你会失去天赋经验直到游戏结束"
"GameSetupLoadingStage_0"                                                                      "正在加载脚本..."
"GameSetupLoadingStage_1"                                                                      "正在加载游戏数据……"
"GameSetupLoadingStage_2"                                                                      "正在加载玩家"
"rating_difficulty"                                                                            "难度级别"
"season_name_25"                                                                               "圣诞节"
"season_name_26"                                                                               "七月"
"season_name_27"                                                                               "八月"
"season_name_28"                                                                               "九月"
"season_name_29"                                                                               "十月"
"season_name_30"                                                                               "十一月"
"season_name_31"                                                                               "十二月"
"season_name_32"                                                                               "一月"
"season_name_33"                                                                               "二月"
"season_name_34"                                                                               "行进"
"season_name_35"                                                                               "四月"
"season_name_36"                                                                               "可能"
"season_name_37"                                                                               "圣诞节"
"season_name_38"                                                                               "七月"
"season_name_39"                                                                               "八月"
"season_name_40"                                                                               "九月"
"season_name_41"                                                                               "十月"
"season_name_42"                                                                               "十一月"
"season_name_43"                                                                               "十二月"
"season_name_44"                                                                               "一月"
"season_name_45"                                                                               "二月"
"season_name_46"                                                                               "行进"
"season_name_47"                                                                               "四月"
"season_name_48"                                                                               "可能"
"season_name_49"                                                                               "圣诞节"
"season_name_50"                                                                               "七月"
"season_name_51"                                                                               "八月"
"season_name_52"                                                                               "九月"
"season_name_53"                                                                               "十月"
"season_name_54"                                                                               "十一月"
"season_name_55"                                                                               "十二月"
"season_name_56"                                                                               "一月"
"season_name_57"                                                                               "二月"
"season_name_58"                                                                               "行进"
"season_name_59"                                                                               "四月"
"season_name_60"                                                                               "可能"
"feed_x230_tooltip"                                                                            "230种宠物食品"
"feed_x600_tooltip"                                                                            "600种宠物食品"
"other_53"                                                                                     "马格努斯"
"other_54"                                                                                     "哈斯卡"
"other_55"                                                                                     "育母"
"other_56"                                                                                     "消音器"
"scroll_13"                                                                                    "魔法伤害卷轴"
"dota_tooltip_ability_item_book_mage_damage"                                                   "魔法伤害卷轴"
"dota_tooltip_ability_item_book_mage_damage_description"                                       "使用此卷轴，1000半径内的英雄将受到20%的魔法伤害。\n被杀死后，增益效果消失。"
"dota_tooltip_ability_item_book_mage_damage_dur"                                               "期间："
"dota_tooltip_modifier_item_book_mage_damage"                                                  "魔法伤害卷轴增益"
"dota_tooltip_modifier_item_book_mage_damage_description"                                      "魔法伤害增加"
"scroll_14"                                                                                    "物理伤害卷轴"
"dota_tooltip_ability_item_book_phys_damage"                                                   "物理伤害卷轴"
"dota_tooltip_ability_item_book_phys_damage_description"                                       "使用此卷轴，1000半径内的英雄将受到20%的物理伤害。\n被杀死后，增益效果消失。"
"dota_tooltip_ability_item_book_phys_damage_dur"                                               "期间："
"dota_tooltip_modifier_item_book_phys_damage"                                                  "物理伤害卷轴增益"
"dota_tooltip_modifier_item_book_phys_damage_description"                                      "物理伤害增加"
"scroll_15"                                                                                    "黄金卷轴"
"dota_tooltip_ability_item_book_gold"                                                          "黄金卷轴"
"dota_tooltip_ability_item_book_gold_description"                                              "通过使用此卷轴，1000 半径内的英雄将开始获得 20% 的更多金币。\n 当他们死亡时，增益效果会消失。"
"dota_tooltip_ability_item_book_gold_dur"                                                      "期间："
"dota_tooltip_modifier_item_book_gold"                                                         "黄金卷轴增益"
"dota_tooltip_modifier_item_book_gold_description"                                             "你会得到更多的金子"
"dota_tooltip_ability_item_book_atributes"                                                     "无尽属性之书"
"dota_tooltip_modifier_item_book_atributes"                                                    "无尽属性之书"
"dota_tooltip_modifier_item_book_atributes_description"                                        "%dMODIFIER_PROPERTY_STATS_AGILITY_BONUS% 敏捷度，%dMODIFIER_PROPERTY_STATS_INTELLECT_BONUS% 智力，%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% 力量"
"creep_1"                                                                                      "乌尔萨"
"description_boss_10"                                                                          "在炽热的余烬中，出现了新浪在火焰中的形象。"
"dota_tooltip_ability_item_magma_soul"                                                         "末日之魂"
"dota_tooltip_ability_item_cemetery_soul"                                                      "灵魂墓地"
"dota_tooltip_ability_item_antimage_soul"                                                      "反影像的灵魂"
"dota_tooltip_ability_item_forest_soul_Description"                                            "灵魂可以改善物品。通过击败老板来获得它们。"
"dota_tooltip_ability_item_village_soul_Description"                                           "灵魂可以改善物品。通过击败老板来获得它们。"
"dota_tooltip_ability_item_mines_soul_Description"                                             "灵魂可以改善物品。通过击败老板来获得它们。"
"ddota_tooltip_ability_item_dust_soul_Description"                                             "灵魂可以改善物品。通过击败老板来获得它们。"
"dota_tooltip_ability_item_swamp_soul_Description"                                             "灵魂可以改善物品。通过击败老板来获得它们。"
"dota_tooltip_ability_item_snow_soul_Description"                                              "灵魂可以改善物品。通过击败老板来获得它们。"
"dota_tooltip_ability_item_divine_soul_Description"                                            "灵魂可以改善物品。通过击败老板来获得它们。"
"dota_tooltip_ability_item_magma_soul_Description"                                             "灵魂可以改善物品。通过击败老板来获得它们。"
"dota_tooltip_ability_item_cemetery_soul_Description"                                          "灵魂可以改善物品。通过击败老板来获得它们。"
"dota_tooltip_ability_item_antimage_soul_Description"                                          "灵魂可以改善物品。通过击败老板来获得它们。"
"dota_tooltip_ability_item_dragon_soul_Description"                                            "这个灵魂可以通过完成一系列保卫中路的任务来获得。用这个灵魂，你可以创造一把<font color='Crimson'><b>幽灵镰刀</b></font>。"
"dota_tooltip_ability_item_dragon_soul_2_Description"                                          "这个灵魂可以通过完成一系列保卫中路的任务来获得。用这个灵魂，你可以创造一个<font color='ForestGreen'><b>龙幕</b></font>。"
"dota_tooltip_ability_item_dragon_soul_3_Description"                                          "这个灵魂可以通过完成一系列保卫中路的任务来获得。通过这个灵魂，你可以创造出<font color='gold'><b>地狱光辉</b></font>。"
"dota_tooltip_ability_spell_item_pet_rda_bp_1"                                                 "<font color='#00FFFF'>WoodRider</font>"
"dota_tooltip_ability_spell_item_pet_rda_bp_1_description"                                     "<h1>主动：Ultra Walk</h1>当你变身为木骑者时，你会变得非常快。在宠物形态下，你会受到 3 倍的伤害。"
"dota_tooltip_ability_spell_item_pet_rda_bp_1_lore"                                            "宠物可以在更短的时间内移动更远的距离。当你造成伤害或使用法术时，你会变回你自己。\n 获取黄金是有限度的。"
"dota_tooltip_ability_spell_item_pet_rda_bp_1_speed"                                           "+$移动速度："
"dota_tooltip_ability_spell_item_pet_rda_bp_1_phys_dmg"                                        "物理伤害加成百分比："
"dota_tooltip_ability_spell_item_pet_rda_bp_1_mage_dmg"                                        "%魔法伤害加成："
"dota_tooltip_ability_spell_item_pet_rda_bp_1_gold"                                            "黄金每分钟增加%："
"dota_tooltip_ability_spell_item_pet_rda_bp_1_gold_limit"                                      "黄金限额:"
"dota_tooltip_ability_spell_item_pet_rda_bp_1_note0"                                           "自动收集宠物周围小半径范围内的所有类型的宝石。"
"pet_bp_1"                                                                                     "木骑士"
"dota_tooltip_ability_spell_item_pet_rda_roshan_1"                                             "<font color='#ffa500'>宝贝罗什</font>"
"dota_tooltip_ability_spell_item_pet_rda_roshan_1_description"                                 "<h1>主动：Ultra Walk</h1>当你变身为小罗什时，你会变得非常快。在宠物形态下，你会受到 3 倍的伤害。<br><br><br><font color='red '>????????????</font>"
"dota_tooltip_ability_spell_item_pet_rda_roshan_1_lore"                                        "宠物可以在更短的时间内移动更远的距离。当你造成伤害或使用法术时，你会变回你自己。"
"dota_tooltip_ability_spell_item_pet_rda_roshan_1_note0"                                       "自动收集宠物周围小半径范围内的所有类型的宝石。"
"rosh_1"                                                                                       "罗什宝宝"
"dota_tooltip_ability_spell_item_pet_rda_roshan_2"                                             "<font color='#ffa500'>宝贝罗什</font>"
"dota_tooltip_ability_spell_item_pet_rda_roshan_2_description"                                 "<h1>主动：Ultra Walk</h1>当你变身为小罗什时，你会变得非常快。在宠物形态下，你会受到 3 倍的伤害。<br><br><br><font color='red '>????????????</font>"
"dota_tooltip_ability_spell_item_pet_rda_roshan_2_lore"                                        "宠物可以在更短的时间内移动更远的距离。当你造成伤害或使用法术时，你会变回你自己。"
"dota_tooltip_ability_spell_item_pet_rda_roshan_2_note0"                                       "自动收集宠物周围小半径范围内的所有类型的宝石。"
"rosh_2"                                                                                       "罗什宝宝"
"dota_tooltip_ability_spell_item_pet_rda_bp_2"                                                 "<font color='#00FFFF'>库皮顿</font>"
"dota_tooltip_ability_spell_item_pet_rda_bp_2_description"                                     "<h1>主动技能：究极行走</h1> 转化为库皮顿后，你将变得极其迅速。在宠物形态下，你造成的伤害提高3倍。\n<h1>被动技能：梅迪沃斯</h1> 使用技能后，你有几率不触发冷却时间。"
"dota_tooltip_ability_spell_item_pet_rda_bp_2_lore"                                            "宠物能够以更短的时间跨越更远的距离。在造成伤害或使用技能时，你将恢复为原本的形态。"
"dota_tooltip_ability_spell_item_pet_rda_bp_2_speed"                                           "移动速度:"
"dota_tooltip_ability_spell_item_pet_rda_bp_2_armor_per_level"                                 "每级护甲:"
"dota_tooltip_ability_spell_item_pet_rda_bp_2_magic_resistance"                                "魔法抗性:"
"dota_tooltip_ability_spell_item_pet_rda_bp_2_note0"                                           "宠物会自动收集其周围小范围内的所有类型宝石。"
"pet_bp_2"                                                                                     "库皮顿"
"quest_swamp_creep_2"                                                                          "杀死该地点的所有小兵"
"quest_swamp_creep_2_desc"                                                                     "是的，这里有一些奇怪的怪物，但这并不能改变它们需要被消灭的事实！"
"quest_npc_shaker_boss_summon_desc"                                                            "想要召唤出四个突袭boss的霸主并与之对话，你必须先击败这四个强大的对手。"
"quest_npc_shaker_boss_summon"                                                                 "突袭老大"
"quest_npc_cemetery_boss_desc"                                                                 "在一个以可怕的残忍而闻名的地方，可怕的狼收割者已经找到了避难所。你必须与这个怪物战斗并结束他险恶的恐怖统治。"
"quest_npc_cemetery_boss"                                                                      "杀狼收割者"
"quest_item_quest_pivo_bara_desc"                                                              "酿造ruff，调制鸡尾酒需要烈性啤酒"
"quest_item_quest_pivo_bara"                                                                   "拿啤酒来"
"quest_urna_desc"                                                                              "要杀掉这些门后的人，一个瓮会对你有很大帮助。"
"quest_urna"                                                                                   "收集8级灵器。"
"quest_magma_creep_1"                                                                          "杀死岩浆地点的任何人"
"quest_magma_creep_desc"                                                                       "没多少时间解释了，杀掉这些生物吧！它们太热了！"
"quest_magma_boss_desc"                                                                        "是时候证明你是这个地图上最强的了，和地狱主宰来一场嘎吉大战，这场战斗将成为传奇！"
"npc_boss_magma"                                                                               "厄运"
"DOTA_Tooltip_ability_item_meteor_hammer_lua"                                                  "流星锤"
"DOTA_Tooltip_ability_item_meteor_hammer_lua_Description"                                      "<h1>主动：流星锤</h1>可中断 - 召唤一颗陨石，在短暂延迟后，撞击半径为 %impact_radius% 的区域。撞击会伤害敌方生物和建筑物，使其昏迷 %stun_duration% 秒并使它们着火，在 %burn_duration% 秒内造成持续伤害。<BR><BR>撞击时对建筑物造成的伤害：%impact_damage_buildings% <BR>对建筑物造成持续伤害：%burn_dps_buildings% <BR><BR>伤害撞击时对生物造成的伤害：%impact_damage_units% <BR>对生物造成的持续伤害：%burn_dps_units% <BR><BR>施法时间：%max_duration% 秒。<BR>施法后延迟：%land_time% 秒。"
"DOTA_Tooltip_ability_item_meteor_hammer_lua_bonus_all_stats"                                  "所有属性加成："
"DOTA_Tooltip_ability_item_meteor_hammer_lua_bonus_health_regen"                               "额外的健康再生："
"DOTA_Tooltip_ability_item_meteor_hammer_lua_bonus_mana_regen"                                 "额外法力再生："
"dota_tooltip_ability_item_ring_of_flux_lua"                                                   "通量之环"
"dota_tooltip_ability_item_ring_of_flux_lua_description"                                       "<h1>被动：通量</h1>每次施放技能都有机会恢复你最大法力值的一小部分。"
"dota_tooltip_ability_item_ring_of_flux_lua_cast_range"                                        "+$cast_range"
"dota_tooltip_ability_item_ring_of_flux_lua_spell_amp"                                         "%+法术伤害"
"dota_tooltip_ability_item_ring_of_flux_lua_mana_back_chance"                                  "%机会："
"dota_tooltip_ability_item_ring_of_flux_lua_mana_back"                                         "%法力恢复："
"dota_tooltip_ability_item_ring_of_flux_lua_mana"                                              "法力奖励："
"dota_tooltip_ability_item_ring_of_flux_lua_manacostred"                                       "%法力消耗减少："
"dota_tooltip_ability_item_radiance_lua"                                                       "辐射"
"dota_tooltip_ability_item_radiance_lua_description"                                           "<h1>切换：燃烧</h1>如果启用，每秒对敌人造成 %aura_damage% 魔法伤害并使他们失明，迫使他们有 %blind_pct%%% 的时间失手。对于幻象，造成 %aura_damage_illusions% 魔法伤害每秒。<br><br>半径：%aura_radius%"
"dota_tooltip_ability_item_radiance_lua_bonus_damage"                                          "+$伤害"
"dota_tooltip_ability_item_radiance_lua_stats_damage"                                          "%属性伤害："
"dota_tooltip_modifier_item_radiance_lua_debuff"                                               "烧伤伤害"
"dota_tooltip_modifier_item_radiance_lua_debuff_description"                                   "每秒受到 60 点伤害，并且有 %dMODIFIER_PROPERTY_MISS_PERCENTAGE%%% 的时间未命中。"
"dota_tooltip_ability_item_bloodstone_lua"                                                     "鸡血石"
"dota_tooltip_ability_item_bloodstone_lua_description"                                         "<h1>主动：血契</h1>在 %restore_duration% 秒内将最大法力的 %mana_cost_percentage%%% 转化为生命值。"
"dota_tooltip_ability_item_bloodstone_lua_bonus_health"                                        "+$健康"
"dota_tooltip_ability_item_bloodstone_lua_bonus_mana"                                          "+$哪里"
"dota_tooltip_ability_item_bloodstone_lua_bonus_intellect"                                     "+$int"
"dota_tooltip_ability_item_bloodstone_lua_bonus_health_regen"                                  "+$hp_regen"
"dota_tooltip_ability_item_bloodstone_lua_spell_amp"                                           "%+法术伤害"
"dota_tooltip_ability_item_bloodstone_lua_hero_lifesteal"                                      "%+从法术中吸血（来自英雄）"
"dota_tooltip_ability_item_bloodstone_lua_creep_lifesteal"                                     "%+法术吸血（来自小兵）"
"dota_tooltip_ability_item_bloodstone_lua_mana_regen_multiplier"                               "%+法力恢复提升"
"dota_tooltip_ability_item_bloodstone_lua_spell_lifesteal_amp"                                 "%+增加法术吸血"
"dota_tooltip_ability_item_assault_lua"                                                        "突击胸甲"
"dota_tooltip_ability_item_assault_lua_description"                                            "<h1>被动：突击光环</h1>使友方建筑和单位的护甲增加%aura_positive_armor%，攻击速度增加%aura_attack_speed%。使敌人的护甲减少%aura_negative_armor%。<br><br>半径: %aura_radius%"
"dota_tooltip_ability_item_assault_lua_bonus_attack_speed"                                     "+$攻击"
"dota_tooltip_ability_item_assault_lua_bonus_armor"                                            "+$装甲"
"dota_tooltip_modifier_item_assault_lua_negative_armor"                                        "突击胸甲"
"dota_tooltip_modifier_item_assault_lua_negative_armor_description"                            "护甲减少 %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
"dota_tooltip_modifier_item_assault_lua_positive"                                              "突击胸甲"
"dota_tooltip_modifier_item_assault_lua_positive_description"                                  "护甲增强 %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%。\n攻击速度提高 %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%。"
"dota_tooltip_modifier_item_assault_lua_positive_buildings"                                    "突击胸甲"
"dota_tooltip_modifier_item_assault_lua_positive_buildings_description"                        "护甲增强%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
"dota_tooltip_modifier_item_assault_lua_negative_buildings_aura"                               "突击胸甲"
"dota_tooltip_modifier_item_assault_lua_negative_buildings_aura_description"                   "护甲减少 %dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%"
"dota_tooltip_ability_item_crimson_guard_lua"                                                  "猩红守卫"
"dota_tooltip_ability_item_crimson_guard_lua_description"                                      "<h1>激活：守卫</h1>在 %duration% 秒内，使英雄和附近的建筑物有 %block_chance_active%%% 的几率阻挡每次攻击的 %block_damage_melee_active% 伤害。<br><br>该技能影响同一个生物每 %tooltip_reapply_time% 秒不超过一次。<br><br>半径：%bonus_aoe_radius%\n<h1>被动：伤害格挡</h1> 如果所有者是近战英雄，如果所有者是远程英雄，则造成 %block_damage_ranged% 伤害。"
"dota_tooltip_ability_item_crimson_guard_lua_bonus_health"                                     "+$健康"
"dota_tooltip_ability_item_crimson_guard_lua_bonus_health_regen"                               "+$hp_regen"
"dota_tooltip_ability_item_crimson_guard_lua_bonus_armor"                                      "+$装甲"
"dota_tooltip_ability_item_crimson_guard_lua_note0"                                            "多重伤害格挡能力的效果不会叠加。"
"dota_tooltip_ability_item_desolator_lua"                                                      "荒凉者"
"dota_tooltip_ability_item_desolator_lua_description"                                          "<h1>被动：腐化</h1>攻击使目标护甲值降低%corruption_armor%。效果持续%corruption_duration%秒。"
"dota_tooltip_ability_item_desolator_lua_note0"                                                "护甲减少会影响建筑物。"
"dota_tooltip_ability_item_desolator_lua_bonus_damage"                                         "+$伤害"
"dota_tooltip_ability_item_shivas_guard_lua"                                                   "锡瓦斯守卫"
"dota_tooltip_ability_item_shivas_guard_lua_description"                                       "<h1>主动：北极冲击</h1>释放一波冰霜，对敌人造成 %blast_damage% 魔法伤害，并使其移动速度降低 %blast_movement_speed%%%，持续 %blast_debuff_duration% 秒。<br><br >半径：%blast_radius%\n<h1>被动：冰冻光环</h1>使敌人的攻击速度降低%aura_attack_speed%，并将其治疗、生命恢复和吸血降低%hp_regen_degen_aura%%%。<br><br>半径：%光环半径%"
"dota_tooltip_ability_item_shivas_guard_lua_note0"                                             "波浪以 %blast_speed% 行进，最大尺寸为 %blast_radius%。"
"dota_tooltip_ability_item_shivas_guard_lua_note1"                                             "一波冰霜追随着主人。"
"dota_tooltip_ability_item_shivas_guard_lua_note2"                                             "多个冰冻光环的效果不会叠加。"
"dota_tooltip_ability_item_shivas_guard_lua_bonus_intellect"                                   "+$int"
"dota_tooltip_ability_item_shivas_guard_lua_bonus_armor"                                       "+$装甲"
"dota_tooltip_ability_item_monkey_king_bar_lua"                                                "美猴王酒吧"
"dota_tooltip_ability_item_monkey_king_bar_lua_description"                                    "<h1>被动：刺穿</h1>每次攻击都有 %bonus_chance%%% 几率刺穿躲避并造成 %bonus_chance_damage% 额外魔法伤害。"
"dota_tooltip_ability_item_monkey_king_bar_lua_bonus_damage"                                   "+$伤害"
"dota_tooltip_ability_item_monkey_king_bar_lua_bonus_attack_speed"                             "+$攻击"
"dota_tooltip_ability_item_bfury_lua"                                                          "愤怒"
"dota_tooltip_ability_item_bfury_lua_description"                                              "<h1>主动：砍树</h1>砍倒选定的树。<br><br>施法距离：%abilitycastrange%\n<h1>被动：压制</h1>增加对非英雄单位的攻击力，近战英雄为 %quelling_bonus%，远程英雄为 %quelling_bonus_ranged%。\n<h1>被动：顺劈</h1> 英雄的攻击会劈开受害者，对其周围 %cleave_distance% 半径内的敌人造成物理伤害（仅限近战）。<br><br> 劈砍伤害：%cleave_damage_percent_creep%%% <br> <font color='#b000cf'> 与毁灭者配合使用，可将非主要目标的护甲值降低 50%荒凉者</font>"
"dota_tooltip_ability_item_bfury_lua_note0"                                                    "顺势伤害无视魔法免疫。"
"dota_tooltip_ability_item_bfury_lua_note1"                                                    "每个给予顺势攻击的物品或能力都会分别造成伤害。"
"dota_tooltip_ability_item_bfury_lua_bonus_damage"                                             "+$伤害"
"dota_tooltip_ability_item_bfury_lua_bonus_health_regen"                                       "+$hp_regen"
"dota_tooltip_ability_item_bfury_lua_bonus_mana_regen"                                         "+$法力雨"
"dota_tooltip_ability_item_heart_lua"                                                          "心"
"dota_tooltip_ability_item_heart_lua_bonus_strength"                                           "+$str"
"dota_tooltip_ability_item_heart_lua_bonus_health"                                             "+$健康"
"dota_tooltip_ability_item_heart_lua_health_regen_pct"                                         "%+每秒最大生命值"
"dota_tooltip_ability_item_butterfly_lua"                                                      "蝴蝶"
"dota_tooltip_ability_item_butterfly_lua_note0"                                                "根据收益递减定律，与其他规避来源叠加。"
"dota_tooltip_ability_item_butterfly_lua_bonus_agility"                                        "+$阿吉"
"dota_tooltip_ability_item_butterfly_lua_bonus_evasion"                                        "%+$回避"
"dota_tooltip_ability_item_butterfly_lua_bonus_attack_speed"                                   "+$攻击"
"dota_tooltip_ability_item_butterfly_lua_bonus_damage"                                         "+$伤害"
"dota_tooltip_ability_item_veil_of_discord_lua"                                                "不和谐的面纱"
"dota_tooltip_ability_item_veil_of_discord_lua_description"                                    "<h1>主动：魔法弱点</h1>削弱%debuff_radius%范围内的敌人，使他们承受%spell_amp%%%的法术伤害。<br><br>施法范围：%abilitycastrange% < br>持续时间：%resist_debuff_duration%秒。\n\n <h1>被动：巴西留斯光环</h1>使盟友的法力回复量增加%aura_mana_regen%。<br><br>半径：%aura_radius%"
"dota_tooltip_ability_item_veil_of_discord_lua_bonus_all_stats"                                "+$全部"
"dota_tooltip_ability_item_greater_crit_lua"                                                   "代达罗斯"
"dota_tooltip_ability_item_greater_crit_lua_description"                                       "<h1>被动：致命一击</h1>每次攻击都有 %crit_chance%%% 几率造成 %crit_multiplier%%% 伤害。"
"dota_tooltip_ability_item_greater_crit_lua_note0"                                             "没有对建筑物造成额外的损坏。"
"dota_tooltip_ability_item_greater_crit_lua_bonus_damage"                                      "+$伤害"
"dota_tooltip_ability_item_kaya_lua"                                                           "所以"
"dota_tooltip_ability_item_kaya_lua_note0"                                                     "其中一些物品的效果不会叠加。"
"dota_tooltip_ability_item_kaya_lua_bonus_intellect"                                           "+$int"
"dota_tooltip_ability_item_kaya_lua_spell_amp"                                                 "%+法术伤害"
"dota_tooltip_ability_item_kaya_lua_mana_regen_multiplier"                                     "%+法力恢复提升"
"dota_tooltip_ability_item_kaya_lua_spell_lifesteal_amp"                                       "%+增加法术吸血"
"dota_tooltip_ability_item_kaya_custom_lua"                                                    "魔法杖"
"dota_tooltip_ability_item_kaya_custom_lua_note0"                                              "其中一些物品的效果不会叠加。"
"dota_tooltip_ability_item_kaya_custom_lua_bonus_intellect"                                    "+$int"
"dota_tooltip_ability_item_kaya_custom_lua_bonus_dmg"                                          "%+每点智力魔法伤害："
"dota_tooltip_ability_item_kaya_custom_lua_bonus_life"                                         "%+从法术中吸取生命"
"dota_tooltip_ability_item_kaya_custom_lua_bonus_int"                                          "+$int"
"dota_tooltip_ability_item_kaya_custom_lua_mana_regen"                                         "+$法力雨"
"dota_tooltip_ability_item_vladmir_lua"                                                        "弗拉德米尔"
"dota_tooltip_ability_item_vladmir_lua_description"                                            "<h1>被动：弗拉德米尔的光环</h1>使盟友的吸血增加 %lifesteal_aura%%%，伤害增加 %damage_aura%%%，护甲增加 %armor_aura%，法力恢复增加 %mana_regen_aura%。<br>< br>半径：%aura_radius%"
"dota_tooltip_ability_item_ethereal_blade_lua"                                                 "空灵之刃"
"dota_tooltip_ability_item_ethereal_blade_lua_description"                                     "<h1>主动：以太爆炸</h1>为目标提供以太形态，完全防御物理伤害，但不允许攻击，并增加 %ethereal_damage_bonus%%% 受到的魔法伤害。持续 %duration_ally% 秒。对敌人造成 %duration% 秒。<br><br>同时使敌方目标减慢 %blast_movement_slow%%% 并造成魔法伤害，伤害值等于 %blast_agility_multiplier% * 你的主属性 + %blast_damage_base%。<br><br>施放范围：%abilitycastrange%"
"dota_tooltip_ability_item_ethereal_blade_lua_note0"                                           "与幽灵权杖共享冷却时间。"
"dota_tooltip_ability_item_ethereal_blade_lua_note1"                                           "幽灵形态的生物承受的魔法伤害增加 40%。"
"dota_tooltip_ability_item_ethereal_blade_lua_note2"                                           "关于盟友和自我的最新消息再多一秒。"
"dota_tooltip_ability_item_ethereal_blade_lua_note3"                                           "使用回城卷轴或旅行之靴并不能驱散空灵形态。"
"dota_tooltip_ability_item_ethereal_blade_lua_bonus_agility"                                   "+$阿吉"
